handle,user_name,candidate_2020,join_2020,candidate_2016,join_2016,text,created_at
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,@Mistirae4 Welcome!  😀👍,2020-05-25 01:17:08
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,Congratulations!!  🙏😀❤️ https://t.co/FKXpC8nZSc,2020-05-25 01:13:31
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,"RT @AiaAsians: So happy to support #AsianAmerican small businesses and thankful to @LucyVietnamese

With your donation, we were able to fee…",2020-05-25 00:58:07
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,@carlo_w22 upstate New York,2020-05-24 23:41:47
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,It’s a beautiful country.  👍🇺🇸 https://t.co/KsTJpza48g,2020-05-24 23:22:27
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,"RT @nerdsforyang: Really had a great convo with @marchandsteve. We went deep into the Iowa and NH results, alternative paths we could have…",2020-05-24 21:05:17
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,Here’s the other design 😀 https://t.co/a8o9rzAgUv https://t.co/XTRperXwKL,2020-05-24 18:00:18
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,"Tomorrow on #yangspeaks - author, professor and psychologist @jean_twenge to talk about mental health, technology a… https://t.co/1KIZkC1dhw",2020-05-24 16:46:18
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,RT @ValaAfshar: Roaming 'robodog' politely asks Singapore park-goers to keep one meter apart @AndrewYang https://t.co/XNtr2OAY38 https://t.…,2020-05-24 14:43:58
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,RT @nytimesworld: Antigovernment protesters in Hong Kong ignored social distancing restrictions on Sunday as they poured onto the streets t…,2020-05-24 14:03:26
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,Old Yeller circa 2040 https://t.co/3VqXW47Z4i,2020-05-24 13:08:47
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,"RT @mamahellfire31: #YangGang, can you help give a fellow yangster a follow?  He's new to Twitter and could use some peeps!",2020-05-24 13:05:07
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,"RT @wwmtnews: @AndrewYang proposed that every American adult over the age of 18 would receive $1,000 a month with no strings attached and n…",2020-05-24 01:29:16
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,@AarikaSamone @YangVets @HeidiBriones @elizableu Happy Birthday!!  😀❤️🎉,2020-05-24 01:28:34
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,"RT @AarikaSamone: #YangGang Birthday Party 🥳🎉🧢

Happy Birthday @YangVets, @HeidiBriones, and @elizableu! https://t.co/QWW8v7XkA5",2020-05-24 01:28:01
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,"RT @ValaAfshar: The biggest impediment to universal basic income is people not thinking that it’s possible. But then, when they see it in r…",2020-05-23 23:15:55
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,"RT @AnaCabrera: “We need to rewrite the rules of our economy from the ground up, this is the equivalent of a natural disaster and we all kn…",2020-05-23 22:58:17
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,A Congressional candidate told me yesterday that the #YangGang were the nicest people at her state’s Democratic Par… https://t.co/kz2keZQTGh,2020-05-23 20:46:45
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,"RT @raykwong: If you haven’t seen @FunnyAsianDude’s comedy special on @PrimeVideo yet, why not? So funny, so relatable and a really “good d…",2020-05-23 20:44:31
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,"RT @ianbremmer: The Coronavirus Depression.
We might as well admit it: https://t.co/lkw0XXA8CD",2020-05-23 20:33:02
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,"“The evil of our times consists . . . in a kind of degradation, indeed in a pulverization. of the fundamental uniqu… https://t.co/DeFBOAdmkf",2020-05-23 20:17:48
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,RT @EdMarkey: What would $2000 a month mean to you and the people you love?,2020-05-23 18:23:39
AndrewYang,Andrew Yang,True,2017-11-06 00:00:00,False,,@Schoolis4Nerds Thank you for the support!  You look great!  😀🙏,2020-05-23 18:23:23
